F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	Y
-1.195619678	0.881811922	0.017097703	-2.21374997	4.569037047	-4.538481842	2.781912166	-2.41901458	2.440256373	-4.146775506	4.135243453	-5.351519717	6.460518535	-8.052049456	6.646514885	-3.413456305	4.211266301	-3.860127496	4.611305169	-5.61092133	7.19441038	-8.612876571	9.783957785	-10.96249177	10.3932827	-10.93871468	10.33631818	-9.670480629	11.52218064	-11.08721052	10.62438665	-11.56941448	10.67789989	-11.52802694	10.58176167	-12.37573	12.12220776	-10.3156401	8.932700876	-8.661240036	8.396624571	-9.123815896	10.52140371	-10.77958323	7.154148861	-5.758704701	3.945370613	-3.865635677	2.513757534	-1.409690498	46.99224891
-0.494143992	3.038664116	-4.098601549	2.449610924	-2.019696045	1.902485801	-3.488466225	3.394253827	-2.786365854	3.843596508	-1.926750305	0.827786885	-1.839960378	2.502546451	-2.373891125	4.777654487	-4.950007245	6.783246373	-7.157325888	7.032890307	-7.635871508	7.838613976	-6.619971826	8.008027728	-9.594637689	9.720780478	-9.563971054	9.441660753	-9.104820843	10.16726937	-8.339355727	7.80339938	-7.37890078	6.158986094	-5.101781499	5.947974123	-5.07551419	5.034705568	-3.363876357	3.727439696	-5.658480906	8.253249193	-8.226923016	6.590396358	-5.241355693	4.373075493	-2.318778072	3.543982769	-2.533425938	1.383960867	-702.7000565
1.246458655	-1.094125968	1.795277711	-4.122611725	3.459057579	-5.378760037	2.612299446	-3.621313189	5.083807092	-4.939032811	4.880590139	-5.408823292	5.94263388	-8.597510071	6.703918944	-8.102926664	5.950530863	-3.525709533	5.308263549	-6.181783748	7.188011663	-7.069453834	7.189273442	-6.131628813	4.83044243	-5.967524835	7.54706014	-7.318099022	5.874404894	-4.5668948	4.535821589	-4.375931611	2.966596736	-4.641608337	3.355826746	-4.588143747	5.152436157	-3.124589182	4.437973311	-5.965397937	5.441263237	-5.792940531	4.094636785	-2.571082024	1.991910574	-0.494809669	0.259507322	0.285520798	1.0665141	-0.978193145	375.7402293
2.43828911	-2.558159899	2.378707457	-3.033689165	2.065796174	-1.668205173	4.447941122	-6.529772179	5.514519917	-3.857707212	2.034217521	-1.795047077	0.857132448	-0.211632532	0.750251678	-0.525828217	2.0807628	-2.982488317	0.330985158	-1.775774649	2.496849663	-5.816669274	7.738270152	-8.595363934	7.553178946	-6.854610815	7.372174999	-7.681209753	5.780646309	-3.073061834	2.457120381	-1.173414347	2.50258753	-2.36348586	3.612002703	-4.14817811	3.785338413	-3.358578739	1.17878532	-1.375271329	2.025601071	-2.634854199	0.248953175	-1.087981226	0.551125641	0.211537334	0.583583032	-1.838397437	1.807705428	-1.642865274	31.76962479
1.282766256	1.005506839	0.554840755	-0.794959473	2.723779861	-3.245291099	2.166997457	-1.738700913	1.234200902	-1.139133192	1.345461921	-0.855764271	1.643649629	-1.327370079	1.666264828	-1.485692037	0.404747928	-1.937524809	2.081795318	-2.155444086	3.178920092	-3.246478088	2.473713678	-2.254978921	2.509310849	-0.46541431	0.060156273	0.190300627	0.830112654	-2.08729996	1.386214433	-3.604798114	4.9759867	-9.307926078	7.533119712	-6.701388914	7.045583446	-6.94896199	7.424229934	-8.900246503	6.050267218	-3.761730123	1.22785852	-0.844800262	0.715427342	-1.332066852	2.790699127	-2.084200557	2.95592619	-2.742936884	305.0309066
-1.647571547	0.926970483	0.117065984	0.709963221	-0.420976406	1.127040173	-2.999793044	3.543843265	-2.269064295	2.705508565	-1.841031152	1.728678453	0.869810857	-2.242650289	1.074908019	2.160471431	0.99776798	-1.465206672	0.585542755	0.444915566	0.515062225	-1.731828928	-0.865050676	3.717079585	-5.958038807	5.038504695	-1.240911403	-1.205415999	2.540938186	-3.426667157	0.310332055	-0.762416796	0.986414297	-1.023887552	0.193994123	-0.267598033	0.467478081	-1.895485972	3.106068025	-2.005166325	1.729191879	-0.009597404	-1.20865927	-0.407694118	0.521594292	-0.641096264	0.615743837	-1.812180073	2.56142543	-0.451169305	1.195419411
-2.714356302	3.037602859	-2.31015373	0.038569757	0.08920092	-0.616804586	-0.064922089	1.080022529	-2.674756717	2.32000804	-3.033481352	2.94420956	-5.223805692	5.516928751	-6.368991501	3.520130452	-1.913626636	3.317746382	0.730819767	-0.638915827	0.423258441	0.487059522	0.710621459	0.474726629	-0.69549875	1.175627982	0.48337553	-1.869469606	-1.967779317	0.478210876	1.270811111	0.464525625	-1.211715955	0.051758541	0.276002207	0.657284894	0.70461584	-1.881293934	3.585170135	-4.071790665	2.652798109	-1.594249526	-0.871456293	-0.276387624	-0.547415003	2.035653274	-2.891868602	1.498110481	0.280163082	-1.530161086	-4.249070398
2.932716432	-3.628294651	3.72369664	-2.681400527	1.070157416	-2.26215953	0.228290464	-0.19854194	-1.869531394	0.800771246	-0.959445214	1.616406633	-1.540618445	1.686040256	-1.553384238	0.871753237	-0.124071436	-0.687218996	0.07152353	0.079799358	-0.988623374	1.657606167	-3.117815702	3.319087963	-3.938610888	2.579727166	-2.17075697	1.679920946	0.962226527	0.804632824	-0.93717298	2.505748807	-3.560946623	0.524541512	-1.457091901	1.387835716	-3.075761695	5.552406396	-4.98243835	1.398059712	-3.381646872	4.710999084	-4.633579289	3.719630961	-3.832095108	4.707680156	-3.371539242	2.621784707	-0.442101117	0.117614876	11571.89825
0.315727958	1.407526685	-1.953328293	2.469405613	-0.746883395	1.037684289	-0.319792192	-1.586718308	0.653360164	-0.019259285	-0.296035306	0.915880392	0.765183291	-0.709173009	0.660690907	-2.146104788	3.100031845	-0.729227579	2.152720579	-3.296126843	2.277098192	-2.551989933	2.042107559	-1.231362461	1.508351346	-2.5799488	4.266255356	-1.491619394	4.379518579	-2.852621427	1.497622544	0.56111682	-2.738627893	1.442399395	-2.278433956	2.119814331	-3.303675676	4.42939552	-4.328002531	6.140925027	-7.060802216	4.188906273	-3.147828149	2.862069712	-2.735181918	2.886854105	-2.587499954	1.842800346	-1.951233671	1.693644911	-1626.519506
1.647115954	-1.789272701	1.031021237	-0.535087972	-0.219945631	-0.155679109	-0.163950668	-0.02750412	0.606168458	-0.81724528	0.665180678	0.271389439	-1.882023345	-0.252397313	-1.108487871	-2.941928136	1.266243548	-0.779701805	1.453954444	-0.517532794	0.382838989	-1.089147541	3.711840953	-2.995881797	2.418755271	-1.765909308	-0.849575624	-0.826368798	3.419549477	-4.354757345	2.951731149	-2.994042824	3.007490891	-4.562993338	5.33679358	-5.067691676	5.320057438	-4.88930954	5.322614938	-3.863018824	4.460758236	-6.283295005	4.577422544	-4.050505747	3.483073168	-3.768181217	1.428841386	-2.816801581	0.919526457	0.305758602	61.5780543
