,Feature1,Feature2
0,F1,F2
1,F1,Y
2,F10,F11
3,F11,F12
4,F12,F13
5,F13,F14
6,F14,F15
7,F15,F16
8,F16,F17
9,F17,F18
10,F18,F19
11,F19,F20
12,F2,F3
13,F2,Y
14,F20,F21
15,F21,F22
16,F22,F23
17,F22,F24
18,F23,F24
19,F23,F25
20,F24,F25
21,F25,F26
22,F26,F27
23,F27,F28
24,F28,F29
25,F29,F30
26,F3,F4
27,F3,Y
28,F30,F31
29,F31,F32
30,F32,F33
31,F33,F34
32,F34,F35
33,F35,F36
34,F36,F37
35,F37,F38
36,F38,F39
37,F39,F40
38,F4,F5
39,F4,Y
40,F40,F41
41,F41,F42
42,F42,F43
43,F43,F44
44,F44,F45
45,F45,F46
46,F46,F47
47,F47,F48
48,F48,F49
49,F49,F50
50,F5,F6
51,F6,F7
52,F7,F8
53,F8,F9
54,F9,F10
