,Cause,Effect,EffectSize,CauseDirection
0,X25,BMI,5.647595090570529,Positive
1,X53,BMI,5.648030886424471,Positive
2,Z56,BMI,6.073675631303326,Negative
3,X82,BMI,5.647852307712943,Negative
4,Z57,BMI,5.647986737164338,Positive
5,Z80,BMI,6.216690615813659,Negative
6,X12,BMI,5.648524072491459,Negative
7,Z64,BMI,5.973597815471546,Positive
8,X89,BMI,5.647821428465971,Negative
9,X15,BMI,5.6476221518933505,Positive
10,Z13,BMI,6.196382529891618,Positive
11,X207,BMI,5.648420021159402,Negative
12,X9,BMI,5.6476050246793905,Negative
13,X162,BMI,5.64859496941234,Positive
14,Z55,BMI,6.301321287482425,Negative
15,Z84,BMI,6.307516631093895,Positive
16,Z81,BMI,6.208040438371329,Negative
17,X182,BMI,5.650221716916542,Positive
18,X125,BMI,5.647582732375101,Negative
19,X150,BMI,5.648598313227818,Positive
20,X1,BMI,5.647601030380923,Negative
21,Z39,BMI,6.183856576804401,Negative
22,X61,BMI,5.647740363289808,Negative
23,X179,BMI,5.647768736784572,Negative
24,Z8,BMI,6.510675385771279,Positive
25,Z73,BMI,6.333408279051449,Positive
26,X64,BMI,5.647716967244216,Negative
27,X72,BMI,5.647652038283434,Negative
28,X177,BMI,5.647722339975073,Negative
29,X126,BMI,5.6486671111542375,Positive
30,X24,BMI,5.647584283555154,Positive
31,X149,BMI,5.647599217178752,Negative
32,X95,BMI,5.64807899440529,Negative
33,X163,BMI,5.647584282215084,Positive
34,Z41,BMI,6.088241800639827,Positive
35,Z82,BMI,6.046876049382267,Negative
36,X5,BMI,5.647869019636882,Positive
37,X54,BMI,5.647647280272733,Positive
38,Z1,BMI,6.191485619190816,Negative
39,X4,BMI,5.647582934759994,Positive
40,X183,BMI,5.6475873445436555,Negative
41,X40,BMI,5.64848376488531,Negative
42,Z50,BMI,5.734418431159914,Negative
43,X77,BMI,5.647629129338114,Negative
44,Z36,BMI,5.952624551505798,Positive
45,Z29,BMI,6.236475411357707,Positive
46,X214,BMI,5.649042400706794,Negative
47,X41,BMI,5.647864244870425,Negative
48,X79,BMI,5.64875207525168,Negative
49,Z37,BMI,6.291831685392004,Positive
50,Z60,BMI,5.711936503754862,Negative
51,X123,BMI,5.6475889508410795,Negative
52,Z48,BMI,6.100899433869457,Negative
53,X166,BMI,5.648250664209085,Negative
54,X132,BMI,5.648421851776472,Negative
55,X175,BMI,5.650350877046967,Negative
56,Z28,BMI,5.6553976660777705,Negative
57,X73,BMI,5.647578709807129,Negative
58,Z78,BMI,5.868637131777882,Negative
59,Z25,BMI,6.325353184545608,Positive
60,Z26,BMI,6.258865014359121,Negative
61,X33,BMI,5.64762623675939,Positive
62,X161,BMI,5.648567329398757,Negative
63,X119,BMI,5.647699644102521,Positive
64,Z9,BMI,5.803944578514226,Negative
65,Z69,BMI,5.64894475156893,Positive
66,Z35,BMI,5.654218853429088,Negative
67,X213,BMI,5.648532508449947,Negative
68,X110,BMI,5.647601268832752,Positive
