,Feature1,Feature2
0,X1,X125
1,X1,X6
2,X1,Z8
3,X10,X19
4,X10,X40
5,X10,X97
6,X100,X101
7,X100,X126
8,X100,X140
9,X100,X141
10,X100,X144
11,X100,X147
12,X100,X182
13,X100,Z27
14,X100,Z8
15,X101,X102
16,X101,X182
17,X101,Z78
18,X102,Z49
19,X103,X106
20,X104,X107
21,X104,X108
22,X104,X162
23,X105,X107
24,X105,X167
25,X105,Z13
26,X105,Z19
27,X105,Z25
28,X105,Z33
29,X105,Z49
30,X105,Z61
31,X105,Z72
32,X107,X108
33,X107,X162
34,X107,X167
35,X108,X162
36,X109,X153
37,X109,X155
38,X109,X182
39,X109,Z4
40,X11,X115
41,X11,X141
42,X11,X95
43,X110,X143
44,X110,X154
45,X111,X112
46,X111,X120
47,X111,X121
48,X112,X113
49,X112,X114
50,X112,X117
51,X112,X118
52,X112,X120
53,X113,X114
54,X113,X115
55,X113,X117
56,X113,X118
57,X114,X120
58,X114,X121
59,X114,X163
60,X115,X123
61,X115,X124
62,X115,X138
63,X115,X140
64,X115,X141
65,X115,Z7
66,X116,X118
67,X116,X124
68,X117,X118
69,X117,X124
70,X118,X124
71,X119,X122
72,X12,X126
73,X12,X141
74,X12,X79
75,X12,X96
76,X12,X97
77,X120,X122
78,X121,X122
79,X122,X168
80,X123,X135
81,X126,BMI
82,X126,X141
83,X126,X161
84,X126,X167
85,X126,X182
86,X126,X204
87,X126,X205
88,X126,X213
89,X126,Z61
90,X127,X128
91,X127,X129
92,X127,X133
93,X129,X130
94,X129,X132
95,X129,X133
96,X129,X134
97,X129,X194
98,X13,X42
99,X13,X43
100,X13,X64
101,X13,X67
102,X13,X85
103,X13,Z87
104,X130,X131
105,X130,X132
106,X130,X133
107,X130,X194
108,X131,X132
109,X131,Z48
110,X131,Z74
111,X132,X134
112,X132,Z87
113,X133,X134
114,X135,X137
115,X136,Z11
116,X138,X140
117,X139,X145
118,X14,X17
119,X14,X30
120,X14,X58
121,X14,X66
122,X14,X93
123,X14,Z21
124,X14,Z37
125,X14,Z57
126,X140,X141
127,X140,Z14
128,X141,X171
129,X141,X182
130,X142,X146
131,X143,X168
132,X144,X147
133,X144,X171
134,X147,X171
135,X148,X149
136,X15,X16
137,X15,X18
138,X15,X34
139,X150,X152
140,X150,X158
141,X150,X160
142,X151,X159
143,X151,Z82
144,X152,X158
145,X152,X160
146,X153,X155
147,X154,Z82
148,X156,X157
149,X158,X160
150,X16,X18
151,X16,X34
152,X161,X169
153,X161,X213
154,X162,BMI
155,X162,X167
156,X162,X168
157,X163,X168
158,X163,Z56
159,X163,Z8
160,X164,X165
161,X164,X166
162,X165,X166
163,X167,Z15
164,X167,Z65
165,X168,BMI
166,X168,X182
167,X169,X213
168,X169,Z82
169,X17,X167
170,X17,X20
171,X17,X34
172,X17,X64
173,X17,X80
174,X17,Z48
175,X17,Z50
176,X17,Z60
177,X17,Z67
178,X17,Z71
179,X170,X171
180,X170,X212
181,X171,X212
182,X172,X175
183,X172,X176
184,X172,X214
185,X173,X174
186,X173,X176
187,X173,X184
188,X173,X185
189,X173,X190
190,X174,X185
191,X174,X190
192,X174,X203
193,X174,X210
194,X174,X211
195,X174,Z48
196,X175,X176
197,X175,X177
198,X175,X214
199,X175,Z38
200,X175,Z41
201,X175,Z49
202,X176,X198
203,X176,X211
204,X176,X214
205,X177,X178
206,X177,X179
207,X177,Z10
208,X178,X179
209,X178,X180
210,X178,X183
211,X178,Z50
212,X18,X34
213,X180,X183
214,X181,X183
215,X181,Z11
216,X181,Z12
217,X181,Z42
218,X182,Z16
219,X182,Z28
220,X182,Z38
221,X182,Z39
222,X182,Z4
223,X182,Z5
224,X182,Z68
225,X182,Z7
226,X182,Z78
227,X184,X192
228,X184,X197
229,X184,X204
230,X185,X187
231,X185,X188
232,X185,X189
233,X185,X190
234,X185,X198
235,X185,X199
236,X185,X200
237,X185,X201
238,X185,X202
239,X185,X203
240,X185,X210
241,X186,X198
242,X186,X204
243,X186,X205
244,X186,X209
245,X187,X188
246,X187,X189
247,X187,X190
248,X187,X203
249,X187,X210
250,X188,X189
251,X188,X198
252,X188,X203
253,X188,X210
254,X189,X190
255,X189,X198
256,X189,X203
257,X189,X210
258,X19,X65
259,X19,X69
260,X19,X81
261,X19,X83
262,X190,X198
263,X190,X209
264,X190,X210
265,X191,X197
266,X191,X207
267,X191,X208
268,X192,X197
269,X192,Z35
270,X193,X195
271,X193,X196
272,X193,X197
273,X194,BMI
274,X194,X197
275,X194,X208
276,X194,Z87
277,X195,X196
278,X196,X197
279,X197,X208
280,X198,X204
281,X198,X209
282,X199,X200
283,X199,X201
284,X199,X202
285,X2,X112
286,X2,X113
287,X2,X116
288,X2,X117
289,X2,X120
290,X2,X60
291,X2,X61
292,X20,X30
293,X20,X70
294,X20,X80
295,X20,X83
296,X20,X84
297,X20,Z39
298,X20,Z49
299,X20,Z76
300,X200,X201
301,X200,X202
302,X201,X202
303,X203,X210
304,X204,X205
305,X205,X206
306,X205,X207
307,X206,X207
308,X207,X208
309,X208,Z45
310,X209,X211
311,X21,X22
312,X21,X74
313,X21,X75
314,X210,X211
315,X22,X71
316,X22,X74
317,X22,X75
318,X22,X83
319,X23,X103
320,X23,X51
321,X23,X52
322,X23,X53
323,X24,X25
324,X24,X54
325,X26,X148
326,X26,X149
327,X26,X150
328,X26,X27
329,X26,X45
330,X26,X55
331,X27,X158
332,X27,X160
333,X28,X142
334,X28,X143
335,X28,X146
336,X28,X177
337,X28,X56
338,X29,X112
339,X29,X114
340,X29,X120
341,X29,X121
342,X29,X163
343,X29,X37
344,X3,X106
345,X3,X168
346,X3,X28
347,X3,X37
348,X3,X4
349,X3,X52
350,X3,X54
351,X30,X151
352,X30,X34
353,X30,X72
354,X30,X81
355,X30,X83
356,X30,Z14
357,X30,Z59
358,X31,X102
359,X31,X173
360,X31,X177
361,X31,X184
362,X31,X194
363,X31,Z10
364,X31,Z28
365,X31,Z36
366,X31,Z40
367,X31,Z76
368,X32,X126
369,X32,X164
370,X32,X165
371,X32,X167
372,X32,X168
373,X32,X174
374,X32,X64
375,X32,X73
376,X32,X80
377,X32,X86
378,X32,X99
379,X32,Z10
380,X32,Z38
381,X32,Z63
382,X33,X128
383,X33,X141
384,X33,X37
385,X33,X45
386,X33,X67
387,X33,X74
388,X33,X93
389,X33,Z11
390,X33,Z50
