,Feature1,Feature2
0,A2ML1,ABCC8
1,A2ML1,ACTL8
2,A2ML1,AFF3
3,A2ML1,AGTR1
4,A2ML1,AKR7A3
5,A2ML1,ART3
6,A2ML1,CLSTN2
7,A2ML1,EEF1A2
8,A2ML1,ERBB4
9,A2ML1,FGFBP1
10,A2ML1,FLJ45983
11,A2ML1,GJB3
12,A2ML1,GRIK3
13,A2ML1,KCNG1
14,A2ML1,LOC440905
15,A2ML1,LOC84740
16,A2ML1,LY6D
17,A2ML1,MARCO
18,A2ML1,NCCRP1
19,A2ML1,PKP1
20,A2ML1,PLCH1
21,A2ML1,PPP1R14C
22,A2ML1,PSAT1
23,A2ML1,PTPRT
24,A2ML1,RHCG
25,A2ML1,SBSN
26,A2ML1,SLC15A1
27,A2ML1,VGLL1
28,A2ML1,WNK4
29,ABCA12,ALOX15B
30,ABCA12,C2CD4A
31,ABCA12,C2orf54
32,ABCA12,CLGN
33,ABCA12,F7
34,ABCA12,HGD
35,ABCA12,HS6ST3
36,ABCA12,IYD
37,ABCA12,POF1B
38,ABCA8,SCARA5
39,ABCA8,TMEM132C
40,ABCC11,ABCA12
41,ABCC11,ABCC12
42,ABCC11,ANKRD30B
43,ABCC11,AR
44,ABCC11,BCAS1
45,ABCC11,CAPN8
46,ABCC11,CYP4Z2P
47,ABCC11,F7
48,ABCC11,HGD
49,ABCC11,HPX
50,ABCC11,LOC84740
51,ABCC11,LRRC31
52,ABCC11,OGN
53,ABCC11,RET
54,ABCC11,SLC44A4
55,ABCC11,TTC36
56,ABCC12,ERBB2
57,ABCC13,AREG
58,ABCC13,ARHGAP36
59,ABCC13,C1orf173
60,ABCC13,GLRA3
61,ABCC13,IL20
62,ABCC13,KCNF1
63,ABCC13,MMP10
64,ABCC13,NAT1
65,ABCC13,SHISA2
66,ABCC8,AFF3
67,ABCC8,ART3
68,ABCC8,BCL11A
69,ABCC8,CYP4B1
70,ABCC8,FOXA1
71,ABCC8,GRIK3
72,ABCC8,GRM4
73,ABCC8,HEPACAM2
74,ABCC8,HPX
75,ABCC8,INSM1
76,ABCC8,MAPT
77,ABCC8,NOVA1
78,ABCC8,PLCH1
79,ABCC8,PSAT1
80,ABCC8,RET
81,ABCC8,SEZ6L
82,ABCC8,SLC26A3
83,ABCC8,SYT1
84,ABCC8,TMPRSS6
85,ABCC8,TTC36
86,ABCC8,WNK4
87,ACTL8,ANKRD43
88,ACTL8,C1orf173
89,ACTL8,GABBR2
90,ACTL8,SBSN
91,ACTL8,SLC6A11
92,ACTL8,TLX1
93,ADAMTS15,CLSTN2
94,ADAMTS19,PDZK1IP1
95,ADCY5,ABCA8
96,ADCY5,ADAMTS15
97,ADCY5,ADAMTS19
98,ADCY5,APOD
99,ADCY5,C2orf40
100,ADCY5,CECR2
101,ADCY5,HPX
102,ADCY5,MAOB
103,ADCY5,NOVA1
104,ADCY5,PCK1
105,ADCY5,RET
106,ADCY5,TMEM132C
107,ADH1B,C7
108,ADH1B,CHRDL1
109,ADH1B,FABP4
110,ADH1B,HP
111,ADH1B,PI16
112,ADH1B,TMEM132C
113,ADH1B,TUSC5
114,ADIPOQ,ADH1B
115,ADIPOQ,CHRDL1
116,ADIPOQ,CIDEC
117,ADIPOQ,FABP4
118,ADIPOQ,GPD1
119,ADIPOQ,PLIN1
120,ADIPOQ,TUSC5
121,AFF3,CLSTN2
122,AFF3,DACH1
123,AFF3,DCDC2
124,AFF3,FLT3
125,AFF3,NEURL
126,AFF3,PHGR1
127,AFF3,PSAT1
128,AFF3,RASAL1
129,AFF3,RET
130,AGR2,ART3
131,AGR2,C3orf57
132,AGR2,CHI3L2
133,AGR2,CLGN
134,AGR2,CYP4F11
135,AGR2,FBN3
136,AGR2,FOXA1
137,AGR2,HORMAD1
138,AGR2,KLHDC7A
139,AGR2,LY6K
140,AGR2,MS4A8B
141,AGR2,SCRG1
142,AGR2,SLC44A4
143,AGR2,TLX1
144,AGR2,TSPAN1
145,AGR2,UGT8
146,AGR3,AGR2
147,AGR3,C10orf82
148,AGR3,C1orf64
149,AGR3,ERBB4
150,AGR3,ESR1
151,AGR3,FAM83E
152,AGR3,FLJ45983
153,AGR3,FSIP1
154,AGR3,GFRA1
155,AGR3,NAT1
156,AGR3,PAM50Call_RNAseq
157,AGR3,SERPINA11
158,AGR3,SERPINA5
159,AGR3,SLC15A1
160,AGR3,SLC44A4
161,AGR3,SLC6A11
162,AGTR1,C1orf106
163,AGTR1,FAM196A
164,AGTR1,FGF10
165,AGTR1,HRASLS5
166,AGTR1,NOVA1
167,AGTR1,PLCH1
168,AGTR1,TPRG1
169,AKR1B10,AKR1C2
170,AKR1B10,CYP4F11
171,AKR1B10,FAM83A
172,AKR1B10,FGG
173,AKR1B10,S100A1
174,AKR1B10,SOX2
175,AKR1C2,DEFB1
176,AKR1C2,PCOLCE2
177,AKR1C2,RBP4
178,AKR7A3,C19orf33
179,AKR7A3,C3orf57
180,AKR7A3,GABBR2
181,AKR7A3,GPRIN2
182,AKR7A3,GRIK3
183,AKR7A3,MYT1
184,AKR7A3,PP14571
185,AKR7A3,RET
186,AKR7A3,TTC36
187,ALB,AFP
188,ALB,PROL1
189,ALOX15B,APOD
190,ALOX15B,CCNO
191,ALOX15B,CRYM
192,ALOX15B,HPX
193,ALOX15B,PNMT
194,ALOX15B,SHISA9
195,ALOX15B,SLC26A3
196,ANKRD30A,?|652919
197,ANKRD30A,A2ML1
198,ANKRD30A,ANKRD30B
199,ANKRD30A,AR
200,ANKRD30A,AREG
201,ANKRD30A,CAPN8
202,ANKRD30A,CHAD
203,ANKRD30A,CYP4B1
204,ANKRD30A,ERBB4
205,ANKRD30A,FLT3
206,ANKRD30A,GPR98
207,ANKRD30A,HEPACAM2
208,ANKRD30A,HORMAD1
209,ANKRD30A,KLHDC7A
210,ANKRD30A,LOC389033
211,ANKRD30A,LOC728606
212,ANKRD30A,MAPT
213,ANKRD30A,MKRN3
214,ANKRD30A,PAM50Call_RNAseq
215,ANKRD30A,PRAME
216,ANKRD30A,SLC7A2
217,ANKRD30A,TFAP2B
218,ANKRD30A,ZNF385B
219,ANKRD30B,ABCC8
220,ANKRD30B,ADAMTS19
221,ANKRD30B,AKR7A3
222,ANKRD30B,CLSTN2
223,ANKRD30B,CXADRP3
224,ANKRD30B,FOXA1
225,ANKRD30B,MKRN3
226,ANKRD30B,SLC15A1
227,ANKRD30B,SPAG17
228,ANKRD30B,UGT2B15
229,ANKRD30B,ZIC1
230,ANKRD43,ADAMTS15
231,ANKRD43,ADCY5
232,ANKRD43,EMX1
233,ANKRD43,F7
234,ANKRD43,HPX
235,ANKRD43,SHISA2
236,ANXA8,ANXA8L2
237,ANXA8,S100A2
238,ANXA8,SYT8
239,ANXA8,TRIM29
240,ANXA8L2,FAT2
241,APOD,TMEM132C
242,AQP5,AFF3
243,AQP5,CYP4Z2P
244,AQP5,GABBR2
245,AQP5,GPRIN2
246,AQP5,IL20
247,AQP5,PART1
248,AQP5,PPP1R1B
249,AQP5,RASAL1
250,AQP5,ROPN1B
251,AQP5,S100A1
252,AQP5,SCGB3A1
253,AQP5,SLC5A1
254,AQP5,SMOC1
255,AQP5,TLX1
256,AQP5,TTYH1
257,AQP7,TMEM132C
258,AR,ADAMTS15
259,AR,DACH1
260,AR,GJB3
261,AR,OGN
262,AR,RHCG
263,AR,TOX3
264,AR,TSIX
265,AREG,ATP13A4
266,AREG,EDN3
267,AREG,SLC1A1
268,ART3,AR
269,ART3,BCL11A
270,ART3,CHI3L2
271,ART3,CLSTN2
272,ART3,F7
273,ART3,FBN3
274,ART3,FLJ45983
275,ART3,KCNG1
276,ART3,LOC84740
277,ART3,MARCO
278,ART3,SCRG1
279,ART3,SLC15A1
280,ART3,TLX1
281,ART3,TSPAN1
282,ART3,UGT8
283,ASCL1,CPLX2
284,ASCL1,FAM5B
285,ASCL1,GPRIN2
286,ASCL1,INSM1
287,ASCL1,MYT1
288,ASCL1,NEURL
289,ASCL1,PAH
290,ASCL1,PDZK1IP1
291,ASCL1,RET
292,ATP13A4,PART1
293,ATP13A5,ATP13A4
294,ATP13A5,DEFB1
295,ATP13A5,DOK7
296,ATP13A5,GSTA1
297,ATP13A5,HSD17B2
298,ATP13A5,KRT4
299,ATP13A5,NEURL
300,ATP13A5,PIK3C2G
301,ATP13A5,PLCH1
302,ATP13A5,SLC6A11
303,ATP13A5,SLPI
304,ATP13A5,TRPV6
305,ATP6V0A4,B3GNT3
306,ATP6V0A4,C1orf106
307,ATP6V0A4,CDH1
308,ATP6V0A4,FAM3B
309,ATP6V0A4,FAM83A
310,ATP6V0A4,GRM4
311,ATP6V0A4,PLCH1
312,ATP6V0A4,PSCA
313,ATP6V0A4,RASAL1
314,ATP6V0A4,SLC28A3
315,ATP6V0A4,TMEM40
316,ATRNL1,ADAMTS19
317,ATRNL1,AFF3
318,ATRNL1,ANKRD43
319,ATRNL1,DLGAP1
320,ATRNL1,FUT3
321,ATRNL1,NELL2
322,ATRNL1,TRPV6
323,BBOX1,BCL11A
324,BBOX1,DEFB1
325,BBOX1,FAT2
326,BBOX1,HSD17B2
327,BBOX1,MMP7
328,BBOX1,PPP1R14C
329,BBOX1,TRIM29
330,BCAS1,CACNG4
331,BCAS1,COL9A3
332,BCAS1,DACH1
333,BCAS1,FSIP1
334,BCAS1,IYD
335,BCAS1,LOC84740
336,BCAS1,PP14571
337,BCAS1,PPP1R14C
338,BCAS1,SLC26A3
339,BCAS1,TLX1
340,BCAS1,TSPAN1
341,BCL11A,GPRIN2
342,BCL11A,PSAT1
343,BCL11A,RASAL1
344,BCL11A,UGT8
345,BEX1,ABCC8
346,BEX1,C10orf82
347,BEX1,C16orf89
348,BEX1,DCX
349,BEX1,GLDC
350,BEX1,GRIK3
351,BEX1,LPPR3
352,BEX1,PDZK1IP1
353,BEX1,RIMS2
354,BEX1,RIMS4
355,BEX1,S100P
356,BEX1,SEZ6L
357,BEX1,TNNT1
358,BMPR1B,AGTR1
359,BMPR1B,ATRNL1
360,BMPR1B,CLGN
361,BMPR1B,DOK7
362,BMPR1B,FGF10
363,BMPR1B,HSD17B2
364,BMPR1B,ONECUT2
365,BMPR1B,PKP1
366,BMPR1B,PLCH1
367,BMPR1B,PPP4R4
368,BMPR1B,RGS22
369,BMPR1B,SCUBE2
370,BMPR1B,SEZ6L
371,BMPR1B,SLC7A2
372,BMPR1B,SLC7A4
373,BMPR1B,TMPRSS6
374,BMPR1B,TNFSF12-TNFSF13
375,BMPR1B,TPRG1
376,BPIL1,CAPN8
377,BPIL1,CRYM
378,BPIL1,CST4
379,BPIL1,DLX2
380,BPIL1,FAM5B
381,BPIL1,GJB3
382,BPIL1,GLYATL1
383,BPIL1,HPX
384,BPIL1,LRRC31
385,BPIL1,MUC2
386,BPIL1,NXPH1
387,BPIL1,SERPINA11
388,BPIL1,TSPAN1
389,C10orf82,AFF3
390,C10orf82,ANKRD30B
391,C10orf82,C19orf33
392,C10orf82,CLSTN2
393,C10orf82,CTNND2
394,C10orf82,HPX
395,C10orf82,IGDCC3
396,C10orf82,MS4A15
397,C10orf82,NEURL
398,C10orf82,SERPINA5
399,C10orf82,SHISA9
400,C10orf82,SLPI
401,C10orf82,TNNT1
