,Cause,Effect,EffectSize,CauseDirection
0,BCL11A,PAM50Call_RNAseq,6.8390475117458545,Positive
1,CAPN6,PAM50Call_RNAseq,6.828210644906961,Positive
2,ALB,PAM50Call_RNAseq,7.0995829170534,Negative
3,TBC1D3G,PAM50Call_RNAseq,6.525180147969554,Negative
4,SLC6A11,PAM50Call_RNAseq,6.515090670388588,Positive
5,TNNT1,PAM50Call_RNAseq,6.65704853515404,Negative
6,MS4A1,PAM50Call_RNAseq,7.008799773932142,Positive
7,FLT3,PAM50Call_RNAseq,6.91853177903339,Negative
8,ESR1,PAM50Call_RNAseq,6.694830745907199,Negative
9,CST9,PAM50Call_RNAseq,6.561795803237177,Negative
10,NBPF6,PAM50Call_RNAseq,6.042726653623437,Negative
11,GLYATL2,PAM50Call_RNAseq,6.918192316275115,Positive
12,LRG1,PAM50Call_RNAseq,6.828240689054791,Negative
13,AKR1C2,PAM50Call_RNAseq,7.0241763078981165,Positive
14,KLK5,PAM50Call_RNAseq,6.7189299287852515,Positive
15,VTCN1,PAM50Call_RNAseq,7.1937431064447965,Negative
16,GP2,PAM50Call_RNAseq,6.553233888049434,Negative
17,FLJ45983,PAM50Call_RNAseq,6.764106840523223,Negative
18,ASCL1,PAM50Call_RNAseq,6.627898017034465,Negative
19,C7,PAM50Call_RNAseq,6.635919022701232,Negative
20,DCD,PAM50Call_RNAseq,7.117393087504751,Positive
21,ALOX15B,PAM50Call_RNAseq,7.096875076214054,Negative
22,TNFSF12-TNFSF13,PAM50Call_RNAseq,6.733159273301654,Positive
23,LTF,PAM50Call_RNAseq,6.913825393061456,Negative
24,KRT16,PAM50Call_RNAseq,6.91575574840771,Positive
25,APOD,PAM50Call_RNAseq,7.1701776333089695,Negative
26,CALML3,PAM50Call_RNAseq,6.828412795233936,Negative
27,CRABP1,PAM50Call_RNAseq,6.706589426063794,Positive
28,PSCA,PAM50Call_RNAseq,7.006103468926635,Positive
29,UGT2B28,PAM50Call_RNAseq,6.998184027975434,Positive
30,SLC1A1,PAM50Call_RNAseq,6.915164682859479,Negative
31,GLRA3,PAM50Call_RNAseq,6.610903863379592,Negative
32,DLK1,PAM50Call_RNAseq,7.101255915320836,Positive
33,SYT9,PAM50Call_RNAseq,6.353555339443485,Negative
34,CD79A,PAM50Call_RNAseq,7.047927822398982,Positive
35,SHC4,PAM50Call_RNAseq,6.939547600757914,Positive
36,PPP2R2C,PAM50Call_RNAseq,6.498747393114587,Negative
37,AGTR1,PAM50Call_RNAseq,6.917188161174767,Negative
38,MKX,PAM50Call_RNAseq,6.9655328651192745,Negative
39,FAM5C,PAM50Call_RNAseq,6.60298985738295,Positive
40,PLA2G2D,PAM50Call_RNAseq,6.915603149936495,Positive
41,CHIT1,PAM50Call_RNAseq,7.156660186688368,Negative
42,GLDC,PAM50Call_RNAseq,6.785549629082198,Positive
43,FGG,PAM50Call_RNAseq,7.084943875835487,Positive
44,ONECUT2,PAM50Call_RNAseq,6.746212515863797,Positive
45,MSLN,PAM50Call_RNAseq,6.708203774971712,Positive
46,ABCC12,PAM50Call_RNAseq,6.712762628641342,Positive
47,CXCL13,PAM50Call_RNAseq,7.108578862666594,Positive
48,KRT13,PAM50Call_RNAseq,6.94460019288905,Negative
49,MAPK4,PAM50Call_RNAseq,6.885918606614216,Positive
50,COL9A3,PAM50Call_RNAseq,7.123642343951313,Positive
51,HORMAD1,PAM50Call_RNAseq,6.610645219261683,Positive
52,S100A7A,PAM50Call_RNAseq,6.943399309426908,Positive
53,HPX,PAM50Call_RNAseq,6.978691644482622,Negative
54,KLK7,PAM50Call_RNAseq,6.670249827437513,Positive
55,CPB1,PAM50Call_RNAseq,6.58608223275419,Negative
56,C10orf82,PAM50Call_RNAseq,6.156616382943798,Negative
