,Feature1,Feature2
0,CPB1,PAM50Call_RNAseq
1,SCGB1D2,PAM50Call_RNAseq
2,TFF1,PAM50Call_RNAseq
3,MUCL1,PAM50Call_RNAseq
4,CYP2B7P1,PAM50Call_RNAseq
5,AGR3,PAM50Call_RNAseq
6,SERPINA6,PAM50Call_RNAseq
7,COL2A1,PAM50Call_RNAseq
8,C4orf7,PAM50Call_RNAseq
9,ADIPOQ,PAM50Call_RNAseq
10,CALML5,PAM50Call_RNAseq
11,GP2,PAM50Call_RNAseq
12,GABRP,PAM50Call_RNAseq
13,KRT14,PAM50Call_RNAseq
14,MUC5B,PAM50Call_RNAseq
15,C1orf64,PAM50Call_RNAseq
16,SOX10,PAM50Call_RNAseq
17,KRT5,PAM50Call_RNAseq
18,CRABP1,PAM50Call_RNAseq
19,SYT13,PAM50Call_RNAseq
20,CST9,PAM50Call_RNAseq
21,LTF,PAM50Call_RNAseq
22,KRT6B,PAM50Call_RNAseq
23,BMPR1B,PAM50Call_RNAseq
24,HOXB13,PAM50Call_RNAseq
25,GFRA1,PAM50Call_RNAseq
26,ABCC11,PAM50Call_RNAseq
27,CRISP3,PAM50Call_RNAseq
28,C20orf114,PAM50Call_RNAseq
29,KIF1A,PAM50Call_RNAseq
30,CP,PAM50Call_RNAseq
31,CGA,PAM50Call_RNAseq
32,OBP2B,PAM50Call_RNAseq
33,PGR,PAM50Call_RNAseq
34,SLC34A2,PAM50Call_RNAseq
35,KCNC2,PAM50Call_RNAseq
36,OLFM4,PAM50Call_RNAseq
37,KRT6A,PAM50Call_RNAseq
38,MUC16,PAM50Call_RNAseq
39,MSLN,PAM50Call_RNAseq
40,KRT16,PAM50Call_RNAseq
41,DSG3,PAM50Call_RNAseq
42,FAM5C,PAM50Call_RNAseq
43,A2ML1,PAM50Call_RNAseq
44,SERPINA11,PAM50Call_RNAseq
45,CBLN2,PAM50Call_RNAseq
46,NLRP2,PAM50Call_RNAseq
47,PTPRT,PAM50Call_RNAseq
48,ELF5,PAM50Call_RNAseq
49,KRT81,PAM50Call_RNAseq
50,KRT17,PAM50Call_RNAseq
51,CA9,PAM50Call_RNAseq
52,VGLL1,PAM50Call_RNAseq
53,CST1,PAM50Call_RNAseq
54,SLC6A4,PAM50Call_RNAseq
55,KLK10,PAM50Call_RNAseq
56,NXPH1,PAM50Call_RNAseq
57,SLITRK6,PAM50Call_RNAseq
58,C10orf82,PAM50Call_RNAseq
59,ESR1,PAM50Call_RNAseq
60,PPP2R2C,PAM50Call_RNAseq
61,SYT9,PAM50Call_RNAseq
62,SCGB2A1,PAM50Call_RNAseq
63,ORM1,PAM50Call_RNAseq
64,CALML3,PAM50Call_RNAseq
65,FABP4,PAM50Call_RNAseq
66,CHAD,PAM50Call_RNAseq
67,CST5,PAM50Call_RNAseq
68,KLK7,PAM50Call_RNAseq
69,MAGEA6,PAM50Call_RNAseq
70,ASCL1,PAM50Call_RNAseq
71,PDZK1,PAM50Call_RNAseq
72,MUC2,PAM50Call_RNAseq
73,SLC6A14,PAM50Call_RNAseq
74,PEG10,PAM50Call_RNAseq
75,CARTPT,PAM50Call_RNAseq
76,FOXI1,PAM50Call_RNAseq
77,NBPF4,PAM50Call_RNAseq
78,SPAG6,PAM50Call_RNAseq
79,CNTNAP2,PAM50Call_RNAseq
80,C7,PAM50Call_RNAseq
81,CASP14,PAM50Call_RNAseq
82,SDR16C5,PAM50Call_RNAseq
83,ABCC8,PAM50Call_RNAseq
84,PYDC1,PAM50Call_RNAseq
85,WNK4,PAM50Call_RNAseq
86,MUC15,PAM50Call_RNAseq
87,LCN2,PAM50Call_RNAseq
88,SCUBE2,PAM50Call_RNAseq
89,S100A8,PAM50Call_RNAseq
90,MIA,PAM50Call_RNAseq
91,ABCA12,PAM50Call_RNAseq
92,PGLYRP2,PAM50Call_RNAseq
93,DSC3,PAM50Call_RNAseq
94,CAPN8,PAM50Call_RNAseq
95,C2orf54,PAM50Call_RNAseq
96,CXCL13,PAM50Call_RNAseq
97,S100A9,PAM50Call_RNAseq
98,LRP1B,PAM50Call_RNAseq
99,TMPRSS4,PAM50Call_RNAseq
100,MAGEA3,PAM50Call_RNAseq
101,SERPINA5,PAM50Call_RNAseq
102,GLYATL2,PAM50Call_RNAseq
103,LY6D,PAM50Call_RNAseq
104,SLC7A4,PAM50Call_RNAseq
105,SLC5A1,PAM50Call_RNAseq
106,MMP1,PAM50Call_RNAseq
107,PON3,PAM50Call_RNAseq
108,PLA2G2A,PAM50Call_RNAseq
109,SFRP1,PAM50Call_RNAseq
110,NBPF6,PAM50Call_RNAseq
111,COL17A1,PAM50Call_RNAseq
112,ZIC1,PAM50Call_RNAseq
113,S100P,PAM50Call_RNAseq
114,RIMS4,PAM50Call_RNAseq
115,ORM2,PAM50Call_RNAseq
116,CYP4F22,PAM50Call_RNAseq
117,ABCC13,PAM50Call_RNAseq
118,ROPN1,PAM50Call_RNAseq
119,NCRNA00052,PAM50Call_RNAseq
120,GLRA3,PAM50Call_RNAseq
121,IL20,PAM50Call_RNAseq
122,LPPR3,PAM50Call_RNAseq
123,INSM1,PAM50Call_RNAseq
124,TSPAN8,PAM50Call_RNAseq
125,PI3,PAM50Call_RNAseq
126,SLC9A2,PAM50Call_RNAseq
127,SLC7A2,PAM50Call_RNAseq
128,ATP6V0A4,PAM50Call_RNAseq
129,WDR72,PAM50Call_RNAseq
130,CAPN6,PAM50Call_RNAseq
131,CHST8,PAM50Call_RNAseq
132,NCCRP1,PAM50Call_RNAseq
133,FOXJ1,PAM50Call_RNAseq
134,PTPRZ1,PAM50Call_RNAseq
135,ANXA8,PAM50Call_RNAseq
136,VTCN1,PAM50Call_RNAseq
137,CCL21,PAM50Call_RNAseq
138,CR2,PAM50Call_RNAseq
139,PKP1,PAM50Call_RNAseq
140,KRT15,PAM50Call_RNAseq
141,AGTR1,PAM50Call_RNAseq
142,GLDC,PAM50Call_RNAseq
143,PLIN1,PAM50Call_RNAseq
144,GPD1,PAM50Call_RNAseq
145,TMPRSS6,PAM50Call_RNAseq
146,ART3,PAM50Call_RNAseq
147,TUBA3D,PAM50Call_RNAseq
148,SYT8,PAM50Call_RNAseq
149,MS4A1,PAM50Call_RNAseq
150,PROL1,PAM50Call_RNAseq
151,NAT1,PAM50Call_RNAseq
152,SLPI,PAM50Call_RNAseq
153,LRG1,PAM50Call_RNAseq
154,CYP2A7,PAM50Call_RNAseq
155,FAM196A,PAM50Call_RNAseq
156,NDP,PAM50Call_RNAseq
157,DLK1,PAM50Call_RNAseq
158,ROPN1B,PAM50Call_RNAseq
159,FLJ45983,PAM50Call_RNAseq
160,ZIC2,PAM50Call_RNAseq
161,SOSTDC1,PAM50Call_RNAseq
162,ALOX15B,PAM50Call_RNAseq
163,IGDCC3,PAM50Call_RNAseq
164,PCSK1N,PAM50Call_RNAseq
165,MARCO,PAM50Call_RNAseq
166,PSCA,PAM50Call_RNAseq
167,MMP12,PAM50Call_RNAseq
168,RGS22,PAM50Call_RNAseq
169,ANXA8L2,PAM50Call_RNAseq
170,C2CD4A,PAM50Call_RNAseq
171,GPR26,PAM50Call_RNAseq
172,SLC13A2,PAM50Call_RNAseq
173,LOC100271831,PAM50Call_RNAseq
174,HOXC11,PAM50Call_RNAseq
175,GABRB3,PAM50Call_RNAseq
176,GJB1,PAM50Call_RNAseq
177,ONECUT2,PAM50Call_RNAseq
178,C1orf173,PAM50Call_RNAseq
179,KRT23,PAM50Call_RNAseq
180,C19orf33,PAM50Call_RNAseq
181,GRIK3,PAM50Call_RNAseq
182,C3orf57,PAM50Call_RNAseq
183,TRPV6,PAM50Call_RNAseq
184,SAA2,PAM50Call_RNAseq
185,THRSP,PAM50Call_RNAseq
186,KRT4,PAM50Call_RNAseq
